название	цена	рейтинг_SW	год	Стилистика вина	Дегустационные характеристики	Гастрономия	Виноградники	Способ выдержки	Способ производства	История этикетки	Это интересно	регион	год	крепость	потенциал хранения	аппелласьон	категория	декантация	выдержка в емкости	подача	сладость	кислотность	танины	тело	комментарии
Вино Gran Reserva Carmenere	1990.0	4.3	2019.0	красное — мощное, пряное, выдержанное в дубе	Вино насыщенного рубинового цвета с лиловым отливом. Обладает насыщенным, экспрессивным ароматом с доминантой пряных нот мускатного ореха и черного перца. Сочное и пряное во вкусе, отличается прекрасным балансом и мягкими, округлыми танинами.	Вино будет хорошо сочетаться с холодными мясными закусками и рагу алла болонезе.	Расположены в двух субзонах Долины Рапель Пеумо и Лос Лингес. Микроклимат зоны Пеумо, расположенной в западной части долины, отличается более высокими температурами.  Лос Лингес наоборот испытывает сильное влияние Анд, что выражается в значительном перепаде дневных и ночных температур. Почвы преимущественно вулканические с аллювиальными, базальтовыми и глинистыми включениями.	В течение 12 месяцев в бочках из французского дуба.	Из винограда удаляют гребни и аккуратно прессуют. Мацерация занимает 30 дней, сусло ферментируют в стальных емкостях, используя селективные дрожжи.		Долгое время карменер в Чили принимали за мерло, пока в 1994 году ампелограф Жан-Мишель Бурсико не взял анализ ДНК сорта. Открытие карменера могло бы стать для Чили тем же, что мальбек для Аргентины, но сорт оказался непростым у раннего карменера вкус зелёно-овощной, у позднего — чистый джем. Пока винные критики требуют определенности, обе версии находят своих поклонников.	Центральная Долина	2019	13.5%	6-8 лет.	Valle de Cauquenes	Denominacion de Origen (DO)	не рекомендуется	Бочка	[]	2	2	4	3	"['Невероятное вино, отзывы не соответствуют истине.В аромате пряности,острый перец,специи.Сам аромат достаточно резкий,мощный,что уже дает небольшое понятие о вкусе вина.\r\nВкус серьезный,никаких фруктовых нот.Сбалансированная терпкость,разновидность специй во вкусе,и легкое ""пощипование"" на корне языка после выпитого глотка.\r\nДля сухого вина это что-то интересное,необычное.\r\nЕсли хотите позицию по серьезней,без сладости и фруктов во вкусе и аромате,то я думаю что стоит попробовать.', 'Слишком много дёгтя во вкусе.', '', '', '', '']"
Вино Pinot Nero (Blauburgunder)	2618.0	4.2	2021.0	красное — фруктовое, среднетелое, с частичной выдержкой в дубе	Вино рубинового цвета. Яркий ягодный аромат красной смородины и спелой вишни. Вкус вина округлый с мягкими танинами и сочным ягодным послевкусием.	Идеальное сочетание с легкими закусками, блюдами из красной рыбы, мяса кролика, с перепелкой и уткой по-пекински.	Виноград со старых лоз, высаженных на западных склонах на высоте 400-500 метров над уровнем моря. Почвы моренные отложения, глина, порфир. Урожайность 52 гл/га.	Часть вина выдерживают в цементных емкостях, а часть в дубовых бочках в течение 6 месяцев.	Ферментацию проводят в емкостях  из нержавеющей стали при контролируемой температуре 25° С. Затем вино выдерживают частично в цементных емкостях, частично в бочках в течение 6 месяцев.		У Colterenzio одна из самых модернизированных виноделен в Альто Адидже. При довольно крупном объеме производства они отстроили ее по принципу гравитации. Солнечные батареи и собственная электростанция почти полностью покрывают энергетические потребности.	Трентино-Альто Адидже	2021	13.5%	5-7 лет.	Alto Adige DOC	Denominazione di Origine Controllata (DOC)		Бочка	[]	1	4	2	4	['Понравился', 'Просто кислотное безликое вино.', 'Хорошее столовое вино. \r\nБез изысков и длительного послевкусия. Отчетливые фруктовые нотки', '', '', '', '', '', '']
Вино Dolcetto d&apos;Alba Tre Vigne	3368.0	3.8	2021.0	красное — округлое, фруктовое, среднетелое, не выдержанное в дубе	Вино пурпурно-красного цвета. В аромате яркие ноты спелой вишни, малины и черники. Вино объемное, сбалансированное с мягкими танинами и ягодной кислотностью.	Прекрасное сопровождение для мясных закусок как вителло тоннато, овощей на гриле, пиццы и паст.	Виноградники дольчетто у Виетти расположены на глинисто-известняковых участках в Ланге.	Непродолжительное время в стальных емкостях.	Для сохранения фруктовости дольчетто ферментацию проводят в нержавеющей стали. Малолактика и дальнейшая выдержка также проходили в нержавеющих емкостях.	Семья Вьетти-Куррадо творчески подходит к этикеткам. Самые известные — это цветная графика Джани Галло, отсылающая к стилю вина через ассоциации и эмоции. Лука Куррадо рассказывает “В начале 1970-х типичная итальянская этикетка была строгой, серьёзной и обязательно с золотыми медалями. Изменить такую на цветной рисунок — это был скандал, который потряс весь регион. Импортёр звонил моему отцу “ты сошёл с ума. Что это за этикетки? Люди думают, что ты добавляешь в вино фрукты и солому.” Некоторые винтажи украшают плакаты в стиле 1920-х. В 1974 году друзья Куррадо, сплошь художники, писатели и режиссеры, придумали проект Artist Label, в ходе которого этикетки винам создавали “артисты” от Пьера Паоло Пазолини до Леонида Сокова. Эта коллекция этикеток была представлена в Музее современного искусства в Нью-Йорке	“Мы в Италии делаем вино с поэзией. Инновации не так интересны. Вино дает эмоции — это самое главное. В Бордо уделялось много внимания технологиям, но там меня научили ориентироваться на свои ощущения, понимать, что происходит с вином, — трогать сусло, слушать, как вино вызревает в бочках. И делать нужно то, что подсказывают твои ощущения, даже если цифры говорят о другом. Во время ферментации важно ощущать пальцами, что происходит с кожицей винограда, как она перерабатывается, смотреть, что происходит с шапкой пены. Я никогда не использую перчатки, и у меня всегда чёрные руки” — глава хозяйства Лука Куррадо для Wine Spectator.	Пьемонт	2021	13%	2-4 года.	Dolcetto d'Alba DOC	Denominazione di Origine Controllata e Garantita (DOCG)		Нейтральная Емкость	[]	1	2	4	4	['Простое и приятное. Без ярких впечатлений, но и без разочарований', 'Очень обманчиво - необходимо декантировать: структура и кислотность появляются спустя 40 минут. Ароматика проста: клубника, вишня, ваниль', '', '', '', '']
Вино Morgon La Chanaise	3990.0	4.5	2019.0	красное — фруктовое, среднетелое, с непродолжительной выдержкой в дубе	Вино светло-рубинового цвета. Букет раскрывается ароматами спелых красных ягод, особенно малины и вишни, цветов, чая, подлеска и лакрицы. Среднетелое, округлое и сочное во вкусе, с освежающей кислотностью, шелковистыми зрелыми танинами и оттенками вишнёвого пирога и пряностей в долгом послевкусии.	Можно порекомендовать салат с языком, мясо или лосось на гриле и мягкие сливочные сыры типа бри.	Виноград собран с нескольких участков аппелласьона Моргон, расположенных на склоне, на высоте 200-300 м на уровне моря. Экспозиция юго-восточная. Рыхлые каменистые почвы преимущественно сланцевых пород, с вкраплением оксида железа. Возраст лоз 50 лет.	В течение нескольких месяцев частично в бетонных ёмкостях, частично в больших дубовых бочках.	Ручной сбор, бережный триаж (сортировка ягод), частичное гребнеотделение. Ферментация и мацерация в течение 15-18 дней в нейтральных ёмкостях с применением пижажа и ремонтажа.		Моргон – один из десяти так называемых Крю де Божоле. Это также одно из самых старинных и известных вин из гаме, обладающих большим потенциалом к выдержке и превосходным качеством. Доминик Пирон является признанным специалистом именно в этом аппелласьоне, что регулярно подтверждается высокими оценками международных критиков (выше 90 баллов из 100).	Бургундия	2019	13%	5-7 лет.	Morgon AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Рыба', 'Сыр']	1	3	3	3	['Достаточно плотное, кислотное вино', '', '', '']
Вино Saperavi 	1440.0	4.6	2018.0	красное — насыщенное, пряное, выдержанное в дубе	Темно-фиолетовый цвет. Сочный, интенсивный аромат с тонами вишни, черной смородины и тонами чернослива. Полнотелое вино с ощутимыми танинами, выразительной кислотностью, тонами фруктов и специй во вкусе и в долгом послевкусии.	Сочетать с блюдами грузинской кухни, блюдами из мяса – тушеное с травами, с овощами, шашлыки с насыщенными и яркими соусами.	Виноград для этого вина был выращен в Кахетии (виноградники сосредоточены главным образом в Алазанской долине (160 км в длину и 5-40 км в ширину) на высоте 200 – 800 м над уровнем моря, с северо-востока долину защищает Кавказский хребет, климат умеренный).	Непродолжительная выдержка в дубовых бочках.	Ферментацию проводят в больших дубовых чанах с температурным контролем.		Название сорта Саперави от грузинского “сапере” -  по-грузински значит «цвет». Как правило, практически из любого красного сорта винограда можно сделать белое вино, потому что сок внутри ягод не имеет цвета. Достаточно отделить его от кожуры и винифицировать по-белому. Но этот фокус не пройдет с саперави! Он относится к исключительно редкой группе «красильщиков» — красных сортов с красной мякотью.	Кахетия	2018	14%	3-4 года.	Kakheti PGI	Protected Geographical Indications (PGI)	аэрация	Бочка	[]	1	3	3	2	['Эталонный саперави! Очень понравился.', 'Не кислое, не терпкое, на мой вкус прекрасно сбалансированное вино', 'Нет ни капли спиртовых ноток и прекрасное терпкое послевкусие)', 'Из того, что доступно в этом бюджете из Грузии - достойно, но только лишь в сравнении с тем, что есть на рынке. В остальном - напоминает домашние вина этого сорта, когда довольно грубо, крепко и без развития вкуса.', 'Плотное. Отличное простое вино.', 'несмотря на яркость самого сорта саперави, весьма питкое, аккуратная терпкость, отличное простое вино', 'Очень приятное. Вкусное', 'Понравилось!', '.', 'Простое. Достаточно спиртуозное.']
Вино Chateau Brane-Cantenac	21990.0	5.0	2011.0	красное — элегантное, насыщенное, выдержанное в дубе	Глубокий рубиновый цвет с лёгким фиолетовым оттенком. В комплексном букете доминируют ароматы чёрной смородины, малины, эвкалипта и специй на фоне тонов подлеска и сухой травы. Среднетелое, прекрасно сбалансированное, с деликатными танинами и ванильной нотой во вкусе. Вино демонстрирует яркое продолжительное послевкусие с элегантным ягодным оттенком.	Вино прекрасно сочетается с дичью, говядиной на гриле, бараньими рёбрышками с пряным соусом и выдержанными твёрдыми сырами.	Пощадь 75 га. Плотность посадки 6,5-8 тысяч лоз/га. Урожайность 4500 л/га. Возраст лоз 35 лет. Почвы гравиевые.	На протяжении 18 месяцев во французских барриках (на 60% новых).	Ручной сбор и тщательный триаж (сортировка ягод). Ферментация осуществляется при контролируемых температурах в стальных и дубовых емкостях. Проводится малолактическая ферментация.		В 1833 хозяйство приобрёл Baron de Brane, известный виноградарь того времени. Признав преимущества терруара Chateau Brane-Cantenac, он продал принадлежащее ему в то время Chateau Brane-Mouton (известное сейчас как Mouton-Rotshchild)! Терруар этого виноградника знаменит тем, что он располагается на обособленном плато с почвами, содержащими светлый гравий кайнозойской эры. Здесь идеальные условия для культивирования каберне совиньона.	Бордо	2011	13%	20-30 лет.	Margaux AOC	2-eme Grand Cru Classe	декантация	Бочка	[]					['Лет 5 ещё полежать надо.', '']
Вино Alter Ego	21490.0	4.7	2017.0	красное — элегантное, комплексное, выдержанное в дубе	Вино рубиново-красного цвета. В аромате переплетаются нотки черносмородинового ликера, эспрессо, дыма, черной сливы, аниса, смолы и лакрицы. Среднетелое, яркое и свежее во вкусе, с округлой текстурой, бархатистыми танинами и длительным послевкусием.	Прекрасно в сочетании с телятиной, запеченой бараниной, выдержанными сырами.	Расположены в коммуне Кантенак в центре аппелласьона Марго и граничат с виноградниками шато Марго. Общая площадь 55 га. Почвы гравиевые, содержащие кварц и базанит. Плотность посадки 10 тыс. лоз/га. Средняя урожайность 35 гл/га. Средний возраст лоз 38 лет. Лозы каберне фран были выкорчеваны в 2004 году. Виноград для этого вина собирается с тех же виноградников, что и виноград для его прославленного старшего брата Шато Пальмер.	В течение 16-18 месяцев в дубовых бочках, 25-40% из которых обновляются ежегодно.	Виноград собирается вручную. Мацерация и ферментация проводится в конусовидных емкостях из нержавеющей стали около двух недель при контролируемой, более низкой температуре, чем для «первого» вина. После алкогольной проводится малолактическая ферментация.		Альтер Эго - второе вино Шато Пальмер, которое до 1998 года называлось La Reserve de General.	Бордо	2017	13%	15-20 лет.	Margaux AOC	Appellation d'Origine Controlee (AOC)	аэрация	Бочка	['Ягненок', 'Говядина', 'Выдержанный сыр']	1	3	5	5	['', '', '']
Вино Chateau Clerc Milon	24990.0	5.0	2016.0	красное — элегантное, насыщенное, выдержанное в дубе	Вино глубокого малинового цвета с пурпурным оттенком. В ярком, насыщенном аромате раскрываются тона спелой сливы, ежевики с нотками кедра, белого шоколада, черносмородинового ликера и угля. Округлое, гармоничное во вкусе вино с бархатитыми танинами и продолжительным послевкусием.	Прекрасно сочетается с пойякским ягненком, мясом под ароматным соусом, стейком, выдержанными сырами.	Расположены в Пойяке на площади 41 га. Гравиевые почвы. Плотность посадки 10000 лоз/га. В последнее время доля мерло на виноградниках увеличивается.	В течение 16-18 месяцев в барриках, 30% из которых новые. Многие баррики берутся в Chateau Mouton.	Ручной сбор, двойной триаж (селекция винограда). Ферментация  осуществляется в емкостях из нержавеющей стали при контролируемой температуре в течение 2-3 недель. Ассамбляж проводится на ранней стадии выдержки.	"Для иллюстрации этикетки за основу взята статуэтка, сделанная из драгоценных камней - ""Танцующие клоуны"". Работа немецкого ювелира XVI века, которая хранится в коллекции музея ""Вино в Искусстве"" Шато Мутон Ротшильд."		Бордо	2016	13.5%	15-20 лет.	Pauillac AOC	5-eme Grand Cru Classe	аэрация	Бочка	['Выдержанный сыр', 'Ягненок']					['']
Вино Chateau Talbot	21990.0	5.0	2015.0	красное — элегантное, насыщенное, выдержанное в дубе	Богатый темно-рубиновый цвет с фиолетовым оттенком. В аромате постепенно раскрываются тона ежевики, сушеной вишни, измельченных цветов, оттенки табака и мяты. Элегантная структура, округлые шелковистые танины и роскошное продолжительное послевкусие с нотками шоколада.	Отлично сочетается с тушеной олениной или бараниной, нежным мясом ягненка на гриле, пернатой дичью в винном соусе и выдержанными сырами.	Замку принадлежат 107 га, расположенных на классических для Сен-Жюльена гравийных почвах. Плотность посадки 7700 лоз/га. Средний возраст лоз 35 лет.	В течение 18 месяцев в барриках, 50% из которых новые.	Ручной сбор. Двойной триаж (селекция ягод). Ферментация ягод в стальных и дубовых емкостях при контролируемой температуре.		Имея 4-ю категорию Grand Cru Classe, в лучшие годы вина замка превосходят вина 2-ой категории Grand Cru Classe.	Бордо	2015	13.5%	15-20 лет.	Saint-Julien AOC	4-eme Grand Cru Classe	декантация	Бочка	['Выдержанный сыр', 'Оленина', 'Ягненок', 'Утка']					['Вино изумительное. После открытия очень насыщенное, терпкое. Со временем становится мягче, меняется слегка вкус и ощущение. Послевкусие долгое, приятное', '', '']
Вино Chateau Malescot Saint-Exupery	19990.0	4.4	2015.0	красное — мощное, насыщенное, выдержанное в дубе	Блестящий рубиново-красный цвет и выразительные ароматы черных и красных ягод, табачного листа, свежевыделанной кожи и специй. Среднетелое, многоплановое и округлое во вкусе, с кремовой текстурой, шелковистыми танинами и дымными нотками в долгом послевкусии.	Отлично сочетается с овощным рагу, тушеным в горшочке мясом, грибным жюльеном.	Расположены на характерных для Медока почвах с глубоким (около 10 м) гравиевым слоем и подпочвами из мергеля, глины и известняка с включениями железа. Общая площадь виноградников составляет 24 га. Плотность посадки 10 тыс. лоз/га. Урожайность 55 гл/га. Средний возраст лоз около 35 лет.	В течение 14-16 месяцев во французских дубовых бочках, 80% из которых обновляются ежегодно.	Виноград собирается вручную. Тщательный триаж на винодельне, полное гребнеотделение. Мацерация и ферментация в течение 3-5 недель в емкостях из нержавеющей стали и бетона с применением природных дрожжей. Проводится малолактика. Осветление яичным белком. Перед розливом не фильтруется.		Первые документы, в которых встречается упоминание о производстве вина в Шато Малеско Сент-Экзюпери, датированы 1608 годом. Своим названием замок обязан двум владельцам - Симону Малеско, советнику Людовика XIV, и графу Жану-Батисту де Сент-Экзюпери, деду известного французского писателя Антуана де Сент-Экзюпери.	Бордо	2015	14.5%	20-30 лет.	Margaux AOC	3-eme Grand Cru Classe	аэрация	Бочка	[]					['Божественно! Одно из лучших вин за эти деньги!', '', '', '', '', '', '']
Вино Chateau Smith Haut-Lafitte Rouge	37490.0	5.0	2015.0	красное — элегантное, комплексное, выдержанное в дубе	Красивый пурпурный цвет. В элегантном комплексном букете доминируют тона ежевики, черной смородины, легкие оттенки грибов и специй. Прекрасно структурированное, округлое с освежающей кислотностью, минеральными и дубовыми нотками в продолжительном послевкусии.	Рекомендуется подавать к мясу на гриле,  дичи под клюквенным соусом, выдержанным сырам.	Площадь посадок красного винограда 45 га. Почва гравий поверх глины и известняка; плотность посадки 7000-9000 лоз/га; урожайность 35-40 гл/га. Возраст лоз 30-40 лет.	В течение 18-20 месяцев в дубовых барриках (80% новые).	Сбор урожая осуществляется вручную. Ферментация проводится в течение 4-8 недель при  t 28-30° С в дубовых бочках с периодическим пижажем.	Еще в XII веке земли поместья были частью владения семьи де Боск, ветви королевской династии Валуа, от которой взяли свое происхождение три лилии на гербе шато, который изображен и на этикетке.	"Владельцы поместья, семья Катьяров, очень деятельные управленцы. Так, Флоранс Катьяр организовала так называемую ""пятерку"" - ""les Cinq"" из пяти шато (кроме Смит-О-Лафит в нее входят Канон-ла-Гаффельер, Газен, Бранер-Дюкрю и Понте-Кане) с целью продвижения своих вин по всему миру. Их дочь Матильда участвовала в создании косметической линии Caudalie на основе полифенолов из виноградных косточек. Кроме того семья открыла при шато спа-отель Les Sources de Caudalie, два ресторана в отеле отмечены звездами путеводителя  Мишлена."	Бордо	2015	14.5%	30-40 лет.	Pessac-Leognan AOC	Grand Cru Classe	аэрация	Бочка	['Выдержанный сыр', 'Утка']	1	3	5	5	['', '', '']
Вино Domaine de Chevalier Rouge	17990.0	5.0	2016.0	красное — округлое, насыщенное, выдержанное в дубе	Вино насыщенного сливово-рубинового цвета с легким фиолетовым оттенком. В его богатом комплексном аромате на фоне тонов красной и черной смородины прекрасно выражены оттенки угля, земли и сливы. Среднетелое, с хорошей структурой, глубокое и чистое во вкусе. Мягкое, сладковатое послевкусие.	Прекрасно сочетается с запеченым сыром, мясным рагу и телятиной на гриле с овощами.	Общая площадь виноградников 42 га, на 37 из которых культивируются красные сорта винограда (64% каберне совиньон, 30% мерло, 3% каберне фран и 3% пти вердо). В среднем в Пессак-Леоньяне лозы высаживают с плотностью посадки около 6500 лоз/га. В хозяйстве же установлены более жесткие требования - 10 000 лоз/га, благодаря чему снижается урожайность и повышается качество винограда. Средний возраст лоз 25 лет. Система формирования лозы двойной гюйо. Урожайность 40 гл/га. Почвы хорошо дренированные, состоящие из метрового слоя гравия поверх песчаника. На виноградниках практикуется разумное виноградарство, т.е. химические вещества используются только в крайних случаях.	В течение 16-20 месяцев в дубовых бочках, 50% из которых новые.	Сбор винограда осуществляется вручную с первой половины сентября и до середины октября в небольшие корзинки для лучшей транспортировки на винодельню. Сортировка винограда проводится и на виноградниках и на винодельне. После холодной мацерации осуществляется ферментация, которая проходит при температуре 30°С- 32°C в течение трех недель. Перед розливом  вина в бутылки проводят осветление яичным белком.			Бордо	2016	13.5%	20-30 лет.	Pessac-Leognan AOC	Grand Cru Classe	аэрация	Бочка	['Мягкий сыр', 'Овощи', 'Говядина']	1	3	5	5	['Сладость танинов до последнего глотка, бархатное, одно из лучших в моём списке, вино как главное блюдо к столу!!!', 'Гармонично развитое, 2014 год был прохладным - отлично сказалось на вине', '', '', '']
Вино Barrua	6368.0	4.4	2018.0	красное — элегантное, комплексное, выдержанное в дубе	Вино темно-красного цвета. Яркий аромат раскрывается нотами черных ягод, сливы, подлеска, специй и джема. Полнотелое, округлое и элегантное, с бархатистыми танинами и ванильными нотками в послевкусии.	Хорошо сочетается с пряной свининой, ягенком на косточке, говядиной с черносливом и выдержанными сырами.	Барруа (30 га) для каберне и мерло и Наркао (100 га ) для кариньяно. Почвы глинистые, известняковые и песчаные.	В течение 15 месяцев во французских дубовых бочках.	Ручной сбор, ферментация в емкостях из нержавеющей стали, малолактика проводилась.	При раскопках, проводившихся недалеко от хозяйства, были найдены удивительные круглые каменные крепости-нураги древней цивилизации сардов. Их изображение и украшает этикетку.	"Современное виноделие на Сардинии начало развиваться в 1970-х годах. Первые успехи связаны с именем Джакомо Такиса. Великий энолог, создатель Sassicaia и других ""винных икон"" Италии, влюбился в этот остров и в 1980-х начал работать с кооперативом Сантади. А после официального выхода на пенсию в 90-х полностью посвятил себя винам Сицилии и Сардинии. Для экспериментальных вин новой волны в 1995 году на всей территории Сардинии введен IGT Остров Нураги."	Сардиния	2018	15%	10-15 лет.	Isola dei Nuraghi IGT	Indicazione Geografica Tipica (IGT)	аэрация	Бочка	['Выдержанный сыр', 'Говядина', 'Свинина', 'Ягненок']	2	2	5	5	['Интересно, самобытно, на мой взгляд выпирает алкоголь, но попробовать стоит. Постепенно раскрывается в бокале.', 'Вкус скорее бордобленда, хотя на самом деле доля кариньяно превалирует: чернослив, переспевшая вишня, бочка, кожа. В носу много алкоголя, к концу становится заметно мягче.\n\nДля региона - интересно, но цена...)', 'Аромат сладкого изюма и чернослива, сушеная вишня. Тельное, не сильно танинное. Сбалансированное. Очень хорошее вино с долгим и приятным послевкусием.', 'Очень уж спиртуозное, а так было бы 5 звезд', '', '', '', '']
Вино Pinot Noir	5290.0	4.2	2021.0	красное — фруктовое, среднетелое, выдержанное в дубе	Вино гранатово-красного цвета. В аромате доминируют нотки ежевики, черники, спелой вишни в сочетании с оттенками лакрицы и подлеска. Во вкусе сбалансированное, с деликатными танинами, тонами спелых фруктов и минеральными нюансами в послевкусии.	Подавать к жареному козленку с пюре из сельдерея, каре ягненка и ризотто под соусом из пряных трав.	Виноградники расположены на высоте 250-900 метров над уровнем моря. Общая площадь - 63 га. Экспозиция - южная, юго-западная.	В дубовых бочках в течение 7-10 месяцев.	Ручной сбор винограда и тщательная селекция. Ферментация в емкостях из нержавеющей стали при контролируемых температурах. Малолактика проводится.		Пино нуар — один из старейших сортов винограда, который причастен к появлению шардоне, алиготе и гаме. Авторитета ему не занимать половину списка самых дорогих вин мира по версии Wine-searcher оккупировали пино нуары из Бургундии.	Трентино-Альто Адидже	2021	13.5%	5-7 лет.	Alto Adige DOC	Denominazione di Origine Controllata (DOC)	аэрация	Бочка	['Ягненок', 'Ризотто']	1	3	4	4	['Европейский пино отличается от новосветских собратьев. Но тем интереснее пробовать в сравнении.', 'Весьма достойное вино.', '', '', '', '', '', '', '', '']
Вино Kindzmarauli Mamiko	890.0	4.5	2021.0	красное — округлое, фруктовое, среднетелое, не выдержанное в дубе	Насыщенный гранатовый цвет. Интенсивный фруктовый аромат с нотами спелой садовой вишни, ежевики, малины. Яркое  и сочное во вкусе с приятным ягодным послевкусием.	Прекрасно подойдет к легким десертам и фруктам.	Расположены в микрозоне Киндзмараули в регионе Кахетия. Хозяйству принадлежит 125 га виноградников.	Непродолжительное время в стальных емкостях.	Сбор урожая проводится исключительно вручную.			Кахетия	2021	11.5%	3-5 лет.	Kindzmarauli PDO		не рекомендуется	Нейтральная Емкость	['Десерты и выпечка', 'Фрукты и ягоды']	2	2	2	2	['Очень легкое, не плотное, как сок\nВкусно, сладко)', 'Прекрасный вариант, для любителей грузинских вин. Иногда очень хочется отдохнуть от европейской кислотности', 'Vivino 3,5 оценка', 'Соглашусь с комментарием выше , что сладостью даже не пахнет , пьётся легко , есть фруктовые ноты , но остаётся вязкость легкая в послевкусие:) можно выпить пару бокалов , думаю подойдёт больше к стейкам, и фруктовым нарезкам.', 'цена качество у этого вина идеальное.', 'Хорошее бюджетное вино. Вкус сладковатый, не терпкий, чувствуются ягодные нотки. За свои деньги прекрасный вариант.', 'Нормальное', 'Ароматное и терпкое вино, однозначно рекомендую', 'Хороший выбор за эти деньги! Очень приятное вино', 'От полусладкого только название…((\nВино терпкое и не самостоятельное. Кислит']
Вино Pinot Noir Nina	3690.0	4.9	2020.0	красное — элегантное, комплексное, не выдержанное в дубе	Вино светло-рубинового цвета раскрывается в бокале ароматами красных лесных ягод, пряных трав, клубники. Элегантное и свежее во вкусе, с гастрономичной живой кислотностью и благородным минеральным послевкусием.	Составит гармоничную пару тунцу на гриле и утиным ножкам конфи с фруктовой глазурью.	Французские клоны пино нуар были высажены в 1996 г. Плотность посадки - 5000 лоз на га. Почвы глинисто-известняковые.	В нейтральных емкостях в течение полугода.	После бережного гребнеотделения виноград аккуратно дробят. Алкогольная и малолактическая ферментация осуществляется в нейтральных емкостях. Для дополнительной экстрации цвета и танина проводится делестаж. Минамальная сульфитация и легкая фильтрация перед бутилированием.	Дизайн этикеток разрабатывает владелица Martilde Антонелла Таччи, используя свои зарисовки домашних питомцев, которые живут или когда-то жили в хозяйстве.  Этикетку пино нуар украшает изображение любимицы Антонеллы - маленькой собачки Нины.		Ломбардия	2020	12.5%	8-10 лет.	Provincia di Pavia IGT	Indicazione Geografica Tipica (IGT)	не рекомендуется	Нейтральная Емкость	['Рыба', 'Утка']	1	5	3	4	['Нравится! Знакома с этим вином несколько лет. Не надоедают нотки табака и земли. Что-то есть в нём настоящее. Отлично подойдёт ко встрече старых друзей.', 'На мой взгляд очень хороший Пино Нуар. \r\nОтличается от классической Франции. И напоминает Швеца в его не классических коллекциях.', 'Пино нуар не узнать. Не ждите Бургундии. ее нет. есть вишня, чернослив и русский чёрный чай', '', '', '', '', '', '', '']
